,,,,,,"~~~eRAPTOR~~~",,,"&nbsp",,,,
"Player","Age","Team(s)","Pos","G","MP","Off","Def","Tot","WAR","WAR/82",,,
"Dylan Windler",27,"LAL"," NYK"," ATL","SF",12,40,2.85543256,-2.856304038,-0.000871478,0.056345691,0.067314723,
"Tyler Herro",24,"MIA","SG",36,1209,0.473801283,-0.506016828,-0.032215545,1.680844064,2.088321413,,,
"Terry Rozier",29,"CHO"," MIA","SG"," PG",49,1667,1.282580399,-1.321660248,-0.03907985,2.307873619,2.790080012,
"Kelly Olynyk",32,"UTA"," TOR","C",65,1379,0.888991785,-0.99532856,-0.106336774,1.844262011,2.260489434,,
"Josh Okogie",25,"PHO","SG",54,926,-1.05170455,0.944467043,-0.107237506,1.241691502,1.519682136,,,
"Obi Toppin",25,"IND","PF",68,1480,0.693180175,-0.81179602,-0.118615846,1.984163609,2.392667881,,,
"Rui Hachimura",25,"LAL","PF",54,1391,0.262998748,-0.387038567,-0.124039819,1.849193095,2.22990932,,,
"Eugene Omoruyi",26,"WAS","SF",35,268,0.114232664,-0.241267564,-0.1270349,0.358,0.438135417,,,
"Paul Reed",24,"PHI","C",67,1270,-0.926958026,0.734002064,-0.192955961,1.645737311,2.014185963,,,
"Marcus Smart",29,"MEM","PG",20,605,-2.292710886,2.091795847,-0.200915039,0.78,0.940675461,,,
"Darius Garland",24,"CLE","PG",43,1426,0.020582901,-0.227001852,-0.206418951,1.828365757,2.237701374,,,
"Eric Gordon",35,"PHO","SG",54,1590,-0.054123459,-0.156582203,-0.210705662,2.04,2.494132762,,,
"Payton Pritchard",26,"BOS","PG",66,1352,0.082148273,-0.300290895,-0.218142623,1.724224845,2.142218747,,,
"Caleb Martin",28,"MIA","SF",49,1339,-0.868548601,0.640158132,-0.228390468,1.710518149,2.125189216,,,
"Deandre Ayton",25,"POR","C",45,1454,-0.586308481,0.315162335,-0.271146146,1.802135423,2.205598577,,,
"Ben Simmons",27,"BRK","PG",15,359,-1.655474711,1.308835784,-0.346638927,0.432861297,0.529770543,,,
"Robert Williams",26,"POR","C",6,119,-2.555128352,2.194937586,-0.360190766,0.141464117,0.173135187,,,
"Nic Claxton",24,"BRK","C",57,1684,-1.358598961,0.981012405,-0.377586556,2.000590282,2.448483629,,,
"Jared Butler",23,"WAS","SG",25,224,0.594751644,-0.992104553,-0.397352909,0.264391614,0.323583767,,,
"De'Andre Hunter",26,"ATL","SF",42,1198,0.943044404,-1.366008406,-0.422964001,1.389774994,1.726690144,,,
"Deni Avdija",23,"WAS","SF",63,1830,-0.032015859,-0.403903048,-0.435918907,2.119397166,2.593889069,,,
"Luke Kennard",27,"MEM","SG",36,906,0.914908163,-1.355664001,-0.440755838,1.043586618,1.258442687,,,
"Tyus Jones",27,"WAS","PG",66,1933,1.08968912,-1.569374913,-0.479685793,2.190031656,2.680337251,,,
"Walker Kessler",22,"UTA","C",55,1288,-2.035566745,1.528165111,-0.507401635,1.429857639,1.749975021,,,
"Jaden McDaniels",23,"MIN","SF",57,1654,-1.499826488,0.977028491,-0.522797997,1.821613318,2.229437196,,,
"Ivica Zubac",26,"LAC","C",54,1428,-0.284884597,-0.238314129,-0.523198726,1.582109947,1.965651752,,,
"Anthony Gill",31,"WAS","PF",37,188,-2.957168688,2.421525729,-0.535642959,0.206948436,0.253280175,,,
"Zach LaVine",28,"CHI","SG",25,872,0.45961308,-0.999279491,-0.53966641,0.943462217,1.137704438,,,
"Wendell Carter Jr.",24,"ORL","C",40,1050,-0.382848882,-0.157471357,-0.540320239,1.147660063,1.404598883,,,
"Saddiq Bey",24,"ATL","SF",63,2062,0.671659513,-1.212049015,-0.540389502,2.253492982,2.799794311,,,
"Jared Rhoden",24,"DET","SG",6,42,-1.647837025,1.088662086,-0.559174939,0.045520233,0.056555441,,,
"Miles Bridges",25,"CHO","SF",57,2142,0.113082006,-0.690506252,-0.577424246,2.30295288,2.777090238,,,
"Jalen Smith",23,"IND","C",48,853,1.544206473,-2.126275597,-0.582069124,0.916219698,1.104853166,,,
"Trendon Watford",23,"BRK","PF",49,562,-0.172174179,-0.413414183,-0.585588362,0.600636404,0.735107241,,,
"Derrick Jones Jr.",26,"DAL","SF",62,1464,-0.387604024,-0.201630247,-0.589234271,1.568870525,1.920110194,,,
"Nikola Jović",20,"MIA","PF",32,564,-2.717980365,2.103758575,-0.61422179,0.595343902,0.739669697,,,
"Kelly Oubre Jr.",28,"PHI","SF",54,1591,-0.264087051,-0.354445103,-0.618532155,1.67,2.05,,,
"A.J. Lawson",23,"DAL","SG",32,244,-0.440841497,-0.191693933,-0.632535431,0.255392799,0.312570292,,,
"Bobby Portis",28,"MIL","PF",67,1605,-0.572005282,-0.066040681,-0.638045963,1.667070528,2.040295273,,,
