"Player","Season","Team","Offensive Archetype","Minutes","Pos","Age","LEBRON","O-LEBRON","D-LEBRON","WAR","LEBRON Contract Value","boxLEBRON","boxOLEBRON","boxDLEBRON"
"Daishen Nix","2023-24","MIN","Low Minute","21","PG","21","-0.86","0.00","-0.86","0.00","73,783.00","-0.97","-0.12","-0.86"
"R.J. Hampton","2023-24","MIA","Stationary Shooter","76","PG","22","-0.86","-0.73","-0.13","0.10","264,072.00","-0.80","-0.82","0.03"
"Miles McBride","2023-24","NYK","Secondary Ball Handler","350","PG","23","-0.87","-0.28","-0.59","0.30","1,206,715.00","-0.77","-0.11","-0.66"
"Luka Garza","2023-24","MIN","Low Minute","28","C","25","-0.88","0.02","-0.90","0.00","97,387.00","-0.94","-0.03","-0.91"
"Richaun Holmes","2023-24","DAL","Roll + Cut Big","232","C","30","-0.88","-1.00","0.12","0.20","796,054.00","-0.85","-1.09","0.24"
"Keita Bates-Diop","2023-24","PHO","Athletic Finisher","580","SF","28","-0.90","-0.95","0.05","0.60","1,957,397.00","-0.94","-1.25","0.31"
"Mason Plumlee","2023-24","LAC","Roll + Cut Big","280","C","33","-0.90","-1.28","0.38","0.30","948,783.00","-0.76","-0.98","0.22"
"Rui Hachimura","2023-24","LAL","Stationary Shooter","799","PF","25","-0.90","-0.66","-0.24","0.80","2,701,045.00","-1.37","-0.87","-0.50"
"Derrick Jones Jr.","2023-24","DAL","Stationary Shooter","1,109","SF","26","-0.91","-0.74","-0.17","1.10","3,732,862.00","-0.73","-0.82","0.09"
"Gabe Vincent","2023-24","LAL","Secondary Ball Handler","127","PG","27","-0.92","-0.81","-0.11","0.10","425,576.00","-1.13","-0.79","-0.34"
"Quentin Grimes","2023-24","NYK","Movement Shooter","910","SG","23","-0.92","-0.58","-0.34","0.90","3,032,148.00","-0.87","-0.71","-0.16"
"Kenrich Williams","2023-24","OKC","Athletic Finisher","559","PF","29","-0.93","-0.80","-0.13","0.50","1,858,350.00","-1.45","-1.08","-0.37"
"Santi Aldama","2023-24","MEM","Stationary Shooter","857","PF","23","-0.93","-0.79","-0.14","0.80","2,847,698.00","-0.63","-1.06","0.43"
"Haywood Highsmith","2023-24","MIA","Stationary Shooter","720","PF","27","-0.94","-2.29","1.35","0.70","2,380,644.00","-1.21","-2.18","0.97"
"Josh Minott","2023-24","MIN","Low Minute","46","SF","21","-0.94","-0.23","-0.71","0.00","153,384.00","-0.99","-0.21","-0.79"
"Jacob Gilyard","2023-24","MEM","Stationary Shooter","482","PG","0","-0.95","-0.58","-0.36","0.50","1,583,531.00","-0.96","-0.91","-0.05"
"Jake LaRavia","2023-24","MEM","Movement Shooter","122","PF","22","-0.95","-0.49","-0.46","0.10","400,276.00","-0.98","-0.66","-0.32"
"Jabari Smith Jr.","2023-24","HOU","Stretch Big","1,325","PF","20","-0.96","-1.51","0.54","1.20","4,305,494.00","0.16","-0.89","1.05"
"Leonard Miller","2023-24","MIN","Low Minute","19","SF","20","-0.96","-0.22","-0.74","0.00","60,588.00","-0.88","-0.10","-0.78"
"Malik Beasley","2023-24","MIL","Movement Shooter","1,351","SG","27","-0.96","-0.48","-0.48","1.30","4,406,524.00","-0.57","-0.18","-0.39"
"Naji Marshall","2023-24","NOP","Stationary Shooter","725","SF","26","-0.96","-0.69","-0.27","0.70","2,362,989.00","-0.87","-0.67","-0.19"
"Jalen Hood-Schifino","2023-24","LAL","Secondary Ball Handler","90","SG","20","-0.97","-0.88","-0.09","0.10","292,013.00","-0.97","-0.79","-0.17"
"Joe Harris","2023-24","DET","Movement Shooter","158","SG","32","-0.97","-0.89","-0.09","0.10","509,977.00","-0.78","-0.85","0.07"
"Theo Maledon","2023-24","CHO","Stationary Shooter","200","PG","22","-0.98","-0.79","-0.20","0.20","641,386.00","-0.98","-0.94","-0.03"
"AJ Griffin","2023-24","ATL","Movement Shooter","133","SF","20","-0.99","-1.06","0.06","0.10","422,620.00","-1.14","-0.94","-0.21"
"Trevelin Queen","2023-24","ORL","Athletic Finisher","155","SG","26","-0.99","-0.97","-0.01","0.10","497,600.00","-0.54","-0.71","0.17"
"Bruce Brown","2023-24","IND/TOR","Secondary Ball Handler","1,155","SG","27","-1.01","-0.94","-0.07","1.10","3,635,302.00","-0.63","-0.38","-0.25"
"Nate Hinton","2023-24","HOU","Low Minute","34","SG","24","-1.01","-0.53","-0.48","0.00","108,245.00","-0.91","-0.45","-0.46"
"Ben Sheppard","2023-24","IND","Stationary Shooter","269","SG","22","-1.02","-0.76","-0.26","0.20","842,614.00","-1.46","-0.80","-0.66"
"Bradley Beal","2023-24","PHO","Secondary Ball Handler","795","SG","30","-1.02","-0.32","-0.70","0.70","2,494,015.00","-0.66","-0.02","-0.64"
"Torrey Craig","2023-24","CHI","Athletic Finisher","572","SF","33","-1.02","-0.95","-0.07","0.50","1,794,106.00","-1.75","-1.76","0.01"
"Trent Forrest","2023-24","ATL","Secondary Ball Handler","202","SG","25","-1.02","-1.22","0.20","0.20","634,660.00","-1.18","-1.35","0.16"
"Cody Zeller","2023-24","NOP","Roll + Cut Big","275","C","31","-1.04","-1.19","0.15","0.20","849,096.00","-1.28","-1.22","-0.06"
"Jabari Walker","2023-24","POR","Stretch Big","943","SF","21","-1.04","-1.26","0.22","0.80","2,905,730.00","-1.61","-1.78","0.17"
"Nate Williams","2023-24","HOU","Slasher","55","SG","24","-1.04","-0.43","-0.62","0.00","168,829.00","-1.09","-0.48","-0.62"
"Robin Lopez","2023-24","MIL","Low Minute","38","C","35","-1.04","-0.58","-0.46","0.00","117,200.00","-0.72","-0.24","-0.48"
"Blake Wesley","2023-24","SAS","Secondary Ball Handler","315","SG","20","-1.09","-1.43","0.33","0.30","935,125.00","-1.25","-1.42","0.16"
"Boban Marjanovic","2023-24","HOU","Low Minute","44","C","35","-1.09","-0.66","-0.43","0.00","130,896.00","-0.83","-0.38","-0.45"
"Dereon Seabron","2023-24","NOP","Athletic Finisher","52","SG","23","-1.09","-0.79","-0.30","0.00","156,509.00","-0.96","-0.60","-0.36"
"Devin Vassell","2023-24","SAS","Secondary Ball Handler","1,352","SG","23","-1.09","0.06","-1.15","1.20","4,026,671.00","-1.02","0.16","-1.18"
"Emoni Bates","2023-24","CLE","Movement Shooter","76","SF","20","-1.09","-0.63","-0.46","0.10","226,094.00","-0.62","-0.29","-0.33"
"Markieff Morris","2023-24","DAL","Stretch Big","150","PF","34","-1.11","-0.91","-0.20","0.10","440,658.00","-0.82","-0.70","-0.12"
"Ryan Arcidiacono","2023-24","NYK","Low Minute","45","PG","29","-1.11","-1.01","-0.10","0.00","132,165.00","-0.95","-0.75","-0.20"
"Braxton Key","2023-24","DEN","Low Minute","44","SF","26","-1.12","-0.67","-0.45","0.00","128,345.00","-1.14","-0.62","-0.52"
"Jermaine Samuels Jr.","2023-24","HOU","Low Minute","45","SF","25","-1.12","-0.66","-0.46","0.00","130,863.00","-0.95","-0.55","-0.39"
"Jay Huff","2023-24","DEN","Low Minute","17","C","25","-1.13","-0.72","-0.41","0.00","49,264.00","-1.18","-0.61","-0.57"
"Udoka Azubuike","2023-24","PHO","Roll + Cut Big","102","C","24","-1.13","-0.73","-0.40","0.10","293,974.00","-0.96","-0.82","-0.15"
"Cam Reddish","2023-24","LAL","Stationary Shooter","815","SF","24","-1.14","-2.28","1.14","0.70","2,347,066.00","-1.79","-2.28","0.48"
"Chris Livingston","2023-24","MIL","Athletic Finisher","59","SF","20","-1.14","-0.66","-0.48","0.00","170,383.00","-0.92","-0.52","-0.40"
"Julian Champagnie","2023-24","SAS","Movement Shooter","654","SF","22","-1.15","-1.56","0.41","0.50","1,866,402.00","-1.04","-1.36","0.32"
"Josh Giddey","2023-24","OKC","Secondary Ball Handler","1,165","SG","21","-1.16","-0.72","-0.44","1.00","3,292,553.00","0.73","0.45","0.28"
"Dorian Finney-Smith","2023-24","BRK","Stationary Shooter","1,211","PF","30","-1.17","-1.10","-0.07","1.00","3,398,377.00","-1.59","-1.39","-0.20"
"Norman Powell","2023-24","LAC","Movement Shooter","1,169","SG","30","-1.18","-0.19","-0.99","0.90","3,259,149.00","-0.96","-0.16","-0.80"
"Skylar Mays","2023-24","POR/LAL","Secondary Ball Handler","386","PG","26","-1.18","-0.30","-0.87","0.30","1,077,000.00","-0.72","-0.22","-0.50"
"Keldon Johnson","2023-24","SAS","Stationary Shooter","1,377","SF","24","-1.20","0.21","-1.41","1.10","3,765,540.00","-1.73","-0.53","-1.21"
"Davis Bertans","2023-24","OKC","Movement Shooter","91","PF","31","-1.22","-0.37","-0.85","0.10","245,576.00","-1.36","-0.31","-1.05"
"De'Andre Hunter","2023-24","ATL","Stationary Shooter","743","SF","0","-1.22","-1.31","0.10","0.60","2,011,709.00","-1.44","-1.21","-0.23"
